test_p180_.png: psnr=16.391610141738482 ssim=0.666473715510751 uiqm=0.7950117327093069 uciqe=30.484244207870226
test_p181_.png: psnr=15.926308549987962 ssim=0.5900646657302843 uiqm=0.5806791388919063 uciqe=26.097709415948113
test_p182_.png: psnr=20.324160876905253 ssim=0.8147518952914615 uiqm=1.0688182897267402 uciqe=27.432285959581606
test_p183_.png: psnr=16.279318963283064 ssim=0.8711724014759016 uiqm=0.972103873496583 uciqe=24.803371563075885
test_p184_.png: psnr=20.609269524044514 ssim=0.6288468334619205 uiqm=-0.42202842764127313 uciqe=28.007647170315565
test_p185_.png: psnr=25.966746974434393 ssim=0.910241826379758 uiqm=0.5413406605727719 uciqe=26.214206056576625
test_p186_.png: psnr=22.124779604193566 ssim=0.8254698905977634 uiqm=0.3000816898328531 uciqe=40.841947085242566
test_p187_.png: psnr=20.50293317216784 ssim=0.821250771530306 uiqm=0.8864452868346855 uciqe=33.962443027466264
test_p188_.png: psnr=18.67439668114599 ssim=0.7888097167995854 uiqm=0.12560850341388263 uciqe=28.067634493701068
test_p189_.png: psnr=28.364480843792368 ssim=0.957104602675157 uiqm=0.9549699216627915 uciqe=28.797439794542218
test_p190_.png: psnr=15.61572162878393 ssim=0.6748686357523902 uiqm=0.8941816423835391 uciqe=28.107787569293407
test_p191_.png: psnr=20.65340951877808 ssim=0.7577361789279765 uiqm=0.819070701135403 uciqe=26.644769444927633
test_p192_.png: psnr=20.454535558550152 ssim=0.8290757619060191 uiqm=0.916209051467348 uciqe=28.555095856049626
test_p193_.png: psnr=26.010288373953294 ssim=0.8463552978162499 uiqm=0.8963060315406193 uciqe=21.900760015426847
test_p194_.png: psnr=20.344580784827542 ssim=0.8517360789375924 uiqm=0.8174898980138602 uciqe=26.780086280787707
test_p195_.png: psnr=18.51981797035188 ssim=0.7149206225737537 uiqm=0.44660072096355163 uciqe=25.492367841682494
test_p196_.png: psnr=21.439960200490273 ssim=0.8093404718045898 uiqm=0.85522130419544 uciqe=32.281567995461785
test_p197_.png: psnr=21.048810419709355 ssim=0.8432372804379993 uiqm=1.0582284053107474 uciqe=28.290856023187136
test_p198_.png: psnr=16.964556634581704 ssim=0.8175539729133537 uiqm=0.6381483863718617 uciqe=32.13664527196854
test_p199_.png: psnr=28.87648725196071 ssim=0.9218993230379136 uiqm=-0.0870579586240775 uciqe=28.27453260194601
test_p200_.png: psnr=19.107483299446233 ssim=0.7323470595134105 uiqm=0.6991338832167963 uciqe=28.151713223891157
test_p203_.png: psnr=16.390510754076377 ssim=0.8077788223928666 uiqm=0.6725147249196852 uciqe=29.272892531454083
test_p205_.png: psnr=17.49261731061341 ssim=0.8472838929863803 uiqm=0.8761620470414561 uciqe=22.7008390434804
test_p206_.png: psnr=21.360748731382447 ssim=0.8154679058734269 uiqm=0.5071966634886216 uciqe=27.95749785471544
test_p208_.png: psnr=15.715548112039484 ssim=0.6739260918162834 uiqm=0.6978659310770535 uciqe=29.057622158447575
test_p209_.png: psnr=23.9952472558106 ssim=0.7444326109769351 uiqm=0.6961956094846056 uciqe=26.155121970384098
test_p211_.png: psnr=21.06108360589048 ssim=0.8763869615923005 uiqm=-0.04934042609539313 uciqe=17.64425862561312
test_p212_.png: psnr=17.02467983025122 ssim=0.725019376819431 uiqm=0.9193766744619484 uciqe=23.589621491627657
test_p213_.png: psnr=23.99472188752569 ssim=0.8421446791904588 uiqm=0.37258738237556976 uciqe=29.81210132734109
test_p214_.png: psnr=24.371922840215507 ssim=0.7381750197485434 uiqm=0.3937850903886816 uciqe=22.4589229190888
test_p215_.png: psnr=20.74217744940404 ssim=0.8474843182301344 uiqm=0.9475482938358075 uciqe=29.370134592023724
test_p216_.png: psnr=22.037303764903776 ssim=0.7967549938662962 uiqm=0.8605500521432101 uciqe=27.432998886812456
test_p218_.png: psnr=19.28174518094632 ssim=0.7345953718520154 uiqm=0.750862785033148 uciqe=24.978875835419938
test_p219_.png: psnr=16.19058008111327 ssim=0.7555204819981132 uiqm=0.5196303214243289 uciqe=28.3037014880598
test_p221_.png: psnr=20.706204307681965 ssim=0.879306637297573 uiqm=0.5375161146252221 uciqe=24.839131095710226
test_p222_.png: psnr=17.14967144052225 ssim=0.8260989184799664 uiqm=-0.23635563730647918 uciqe=15.099950946380195
test_p223_.png: psnr=17.84063590864838 ssim=0.8717580434124038 uiqm=0.10944099741032398 uciqe=23.26242004963476
test_p224_.png: psnr=17.639231197460848 ssim=0.8398735220867249 uiqm=0.7051690185393664 uciqe=28.617132785288675
test_p225_.png: psnr=18.47394772870747 ssim=0.7078673104891188 uiqm=0.8329125585120832 uciqe=29.386855378091187
test_p226_.png: psnr=17.285980501443255 ssim=0.824600306241738 uiqm=0.9927164425816423 uciqe=27.150698738155725
test_p227_.png: psnr=16.39666364916351 ssim=0.7917485098254288 uiqm=0.951818649296432 uciqe=25.727488559316583
test_p228_.png: psnr=16.82728919608532 ssim=0.7007818712098945 uiqm=0.32273539396313544 uciqe=25.202071516615984
test_p229_.png: psnr=20.228476523862142 ssim=0.7471846163077954 uiqm=0.5762617701587706 uciqe=24.172488488605815
test_p230_.png: psnr=18.654785704815577 ssim=0.7572531745694814 uiqm=0.653247636217108 uciqe=27.04619755544447
test_p232_.png: psnr=12.454520376324623 ssim=0.7023677818265731 uiqm=0.3181800329810499 uciqe=29.369935276703
test_p233_.png: psnr=24.037599229550572 ssim=0.7862199948160343 uiqm=0.48870010322153545 uciqe=30.6863060421698
test_p234_.png: psnr=14.529993374243166 ssim=0.638091741604003 uiqm=0.9607566498897262 uciqe=27.480319245888904
test_p235_.png: psnr=20.120966459214177 ssim=0.7017972587205933 uiqm=0.7681007992892241 uciqe=31.05550751456736
test_p236_.png: psnr=25.2462232162272 ssim=0.9075505339334585 uiqm=0.7968037896810403 uciqe=26.413096774162806
test_p238_.png: psnr=22.83279731575261 ssim=0.8009496528449963 uiqm=0.607578198221403 uciqe=27.017448436542836
test_p239_.png: psnr=26.489783219875818 ssim=0.8802492842309904 uiqm=0.2861402685324541 uciqe=27.98898458040577
test_p240_.png: psnr=25.750060149213372 ssim=0.7901990830940733 uiqm=0.58611714471191 uciqe=31.64200935024146
test_p241_.png: psnr=21.742850989221317 ssim=0.9386806132332298 uiqm=1.0965021727080668 uciqe=23.75392368505585
test_p242_.png: psnr=18.151893145940168 ssim=0.8124647345957289 uiqm=0.7902542356883642 uciqe=28.41816785878644
test_p243_.png: psnr=17.714017748807315 ssim=0.7484895041898044 uiqm=0.48697451468286534 uciqe=27.33163671591276
test_p244_.png: psnr=23.866302590703654 ssim=0.7770934451871568 uiqm=0.49968796680173977 uciqe=27.01660484834482
test_p245_.png: psnr=26.703467267915716 ssim=0.9031584105142708 uiqm=0.38037593326684804 uciqe=29.03495300517934
test_p246_.png: psnr=19.181950026706026 ssim=0.7640756029415008 uiqm=0.27217570870291596 uciqe=20.608261512869777
test_p247_.png: psnr=16.043113662390752 ssim=0.7896436454914296 uiqm=0.27622683831902817 uciqe=23.48674473540523
test_p248_.png: psnr=22.25288220758253 ssim=0.7893016639816758 uiqm=0.635950261704221 uciqe=24.273396245720257
test_p249_.png: psnr=20.738165360872124 ssim=0.7722395104068859 uiqm=1.2278255009125503 uciqe=26.791638499803664
test_p250_.png: psnr=24.028359836743483 ssim=0.7957534209442129 uiqm=0.49708509970442116 uciqe=30.355623139926198
test_p251_.png: psnr=23.60668606819216 ssim=0.7212017538964041 uiqm=0.6222047423226954 uciqe=32.732603494208114
test_p253_.png: psnr=21.824555834108054 ssim=0.8571837377079247 uiqm=0.24670884351832856 uciqe=28.006415213576048
test_p254_.png: psnr=20.855112655199186 ssim=0.8699896793085252 uiqm=0.31057716804001567 uciqe=19.959860443496538
test_p255_.png: psnr=14.631708419887989 ssim=0.6019406942476647 uiqm=-0.28376177260160823 uciqe=24.12556969620971
test_p256_.png: psnr=17.144607773678295 ssim=0.6993262685680287 uiqm=1.0804327190607848 uciqe=24.919641359563364
test_p258_.png: psnr=26.640329838523506 ssim=0.8135810958946212 uiqm=0.44200452099887366 uciqe=24.207825764607627
